date,price
3/31/2015,494.845503
4/1/2015,494.0675226
4/2/2015,494.6166878
4/3/2015,494.5709245
4/4/2015,498.2774721
4/5/2015,495.577697
4/6/2015,493.4725795
4/7/2015,491.2757397
4/8/2015,502.6696891
4/9/2015,511.2688523
4/10/2015,508.6619733
4/11/2015,513.2352657
4/12/2015,518.4020858
4/13/2015,512.4121347
4/14/2015,517.6705648
4/15/2015,506.6037184
4/16/2015,507.152603
4/17/2015,508.7991843
4/18/2015,515.2929755
4/19/2015,522.607924
4/20/2015,522.8821937
4/21/2015,512.595055
4/22/2015,501.7547087
4/23/2015,499.1468275
4/24/2015,500.153411
4/25/2015,494.845503
4/26/2015,493.5183449
4/27/2015,490.772269
4/28/2015,487.430787
4/29/2015,457.5193405
4/30/2015,443.8101064
5/1/2015,438.8102893
5/2/2015,438.3515324
5/3/2015,445.4153079
5/4/2015,440.8745741
5/5/2015,436.5164069
5/6/2015,434.1305083
5/7/2015,434.4517025
5/8/2015,437.3422328
5/9/2015,433.1668965
5/10/2015,423.2069944
5/11/2015,424.0333418
5/12/2015,439.4525324
5/13/2015,437.6633788
5/14/2015,442.5717272
5/15/2015,440.9204449
5/16/2015,445.598752
5/17/2015,451.1472097
5/18/2015,457.8860265
5/19/2015,465.7683338
5/20/2015,469.387781
5/21/2015,469.1129063
5/22/2015,466.8679732
5/23/2015,460.4526609
5/24/2015,457.0609746
5/25/2015,457.9776971
5/26/2015,461.2317599
5/27/2015,463.0648282
5/28/2015,462.6524008
5/29/2015,465.9057917
5/30/2015,462.1483126
5/31/2015,455.3190985
6/1/2015,455.8691793
6/2/2015,454.402267
6/3/2015,456.281731
6/4/2015,446.1032152
6/5/2015,445.0484151
6/6/2015,448.7629202
6/7/2015,447.1121068
6/8/2015,449.6341328
6/9/2015,437.250476
6/10/2015,431.0100829
6/11/2015,438.1221503
6/12/2015,441.8378395
6/13/2015,447.3413939
6/14/2015,448.6712116
6/15/2015,444.5439275
6/16/2015,447.0203913
6/17/2015,448.9004823
6/18/2015,452.2934111
6/19/2015,453.6687746
6/20/2015,455.6858205
6/21/2015,453.1644845
6/22/2015,461.965005
6/23/2015,461.9191779
